 United-States,29170
 Mexico,643
 Philippines,198
 Germany,137
 Canada,121
 Puerto-Rico,114
 El-Salvador,106
 India,100
 Cuba,95
 England,90
 Jamaica,81
 South,80
 China,75
 Italy,73
 Dominican-Republic,70
 Vietnam,67
 Guatemala,64
 Japan,62
 Poland,60
 Columbia,59
 Taiwan,51
 Haiti,44
 Iran,43
 Portugal,37
 Nicaragua,34
 Peru,31
 Greece,29
 France,29
 Ecuador,28
India,24
 Ireland,24
Guatemala,22
Japan,21
Taiwan,20
Columbia,20
Thailand,20
Yugoslavia,20
 Hong,20
 Trinadad&Tobago,19
 Cambodia,19
 Laos,18
Scotland,18
Cuba,18
Cambodia,18
Hungary,18
 Thailand,18
Italy,17
Ireland,17
El-Salvador,16
Hong,16
Laos,16
 Yugoslavia,16
Trinadad&Tobago,16
South Africa,16
France,16
Haiti,15
Jamaica,15
United-States,15
Philippines,15
 Outlying-US(Guam-USVI-etc),14
Canada,14
Greece,14
Peru,14
Ecuador,13
 Hungary,13
Outlying-US(Guam-USVI-etc),13
Holand-Netherlands,13
 Honduras,13
Mexico,12
 Scotland,12
China,12
Poland,11
Portugal,11
Vietnam,11
England,9
Honduras,9
Germany,8
Iran,6
Dominican-Republic,4
 Holand-Netherlands,1
