 United-States,14662
 Mexico,308
 Philippines,97
 Puerto-Rico,70
 Germany,69
 Canada,61
 India,51
 El-Salvador,49
 China,47
 Cuba,43
 England,37
 South,35
 Dominican-Republic,33
 Italy,32
 Haiti,31
 Portugal,30
 Japan,30
 Poland,27
 Columbia,26
 Jamaica,25
 Guatemala,24
 Greece,20
 Vietnam,19
 Ecuador,17
 Iran,16
 Nicaragua,15
 Peru,15
 Taiwan,14
 Ireland,13
 Thailand,12
Jamaica,12
Hong,12
Scotland,11
Cuba,10
Poland,10
Mexico,10
 Hong,10
 France,9
 Scotland,9
 Outlying-US(Guam-USVI-etc),9
Iran,9
Columbia,9
Outlying-US(Guam-USVI-etc),9
Honduras,9
 Cambodia,9
Philippines,8
Portugal,8
Vietnam,8
China,8
 Trinadad&Tobago,8
Holand-Netherlands,8
 Honduras,7
 Yugoslavia,7
Canada,7
South Africa,7
Haiti,7
Taiwan,7
France,7
Yugoslavia,7
El-Salvador,7
England,7
Dominican-Republic,6
Ireland,6
Italy,6
 Hungary,6
 Laos,5
Japan,5
Peru,5
India,5
Thailand,5
Trinadad&Tobago,5
Hungary,5
Germany,5
Laos,4
Greece,4
United-States,4
Cambodia,4
Ecuador,4
Guatemala,4
